notes,five_year_age_groups,five_year_age_groups_code,deaths,population,crude_rate,crude_rate_lower_95_percent_confidence_interval,crude_rate_upper_95_percent_confidence_interval,crude_rate_standard_error,death_cause,acp_name,time_period
,< 1 year,1,Suppressed,5299738,Suppressed,Suppressed,Suppressed,Suppressed,Suicide,Big Cities,2010-2014
,1-4 years,1-4,Suppressed,20587222,Suppressed,Suppressed,Suppressed,Suppressed,Suicide,Big Cities,2010-2014
,5-9 years,5-9,13,24880529,Unreliable,0.028,0.089,0.014,Suicide,Big Cities,2010-2014
,10-14 years,10-14,322,24336155,1.323,1.179,1.468,0.074,Suicide,Big Cities,2010-2014
,15-19 years,15-19,1616,25178475,6.418,6.105,6.731,0.160,Suicide,Big Cities,2010-2014
,20-24 years,20-24,3155,28541174,11.054,10.668,11.440,0.197,Suicide,Big Cities,2010-2014
,25-29 years,25-29,3509,31438389,11.162,10.792,11.531,0.188,Suicide,Big Cities,2010-2014
,30-34 years,30-34,3219,29476219,10.921,10.543,11.298,0.192,Suicide,Big Cities,2010-2014
,35-39 years,35-39,3284,26575106,12.357,11.935,12.780,0.216,Suicide,Big Cities,2010-2014
,40-44 years,40-44,3539,26437501,13.386,12.945,13.827,0.225,Suicide,Big Cities,2010-2014
,45-49 years,45-49,4179,25908905,16.130,15.641,16.619,0.250,Suicide,Big Cities,2010-2014
,50-54 years,50-54,4351,25859967,16.825,16.325,17.325,0.255,Suicide,Big Cities,2010-2014
,55-59 years,55-59,3998,23220325,17.218,16.684,17.751,0.272,Suicide,Big Cities,2010-2014
,60-64 years ,60-64,2849,19424727,14.667,14.128,15.205,0.275,Suicide,Big Cities,2010-2014
,65-69 years,65-69,1919,14349668,13.373,12.775,13.971,0.305,Suicide,Big Cities,2010-2014
,70-74 years,70-74,1343,10288556,13.053,12.355,13.751,0.356,Suicide,Big Cities,2010-2014
,75-79 years,75-79,1085,7753338,13.994,13.161,14.827,0.425,Suicide,Big Cities,2010-2014
,80-84 years,80-84,929,5973342,15.552,14.552,16.553,0.510,Suicide,Big Cities,2010-2014
,85-89 years,85-89,690,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Big Cities,2010-2014
,90-94 years,90-94,291,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Big Cities,2010-2014
,95-99 years,95-99,74,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Big Cities,2010-2014
,100+ years,100+,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Big Cities,2010-2014
,Not Stated,NS,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Big Cities,2010-2014
Total,,,40379,381798288,10.576,10.473,10.679,0.053,Suicide,Big Cities,2010-2014
