notes,five_year_age_groups,five_year_age_groups_code,deaths,population,crude_rate,crude_rate_lower_95_percent_confidence_interval,crude_rate_upper_95_percent_confidence_interval,crude_rate_standard_error,death_cause,acp_name,time_period
,< 1 year,1,Suppressed,4134656,Suppressed,Suppressed,Suppressed,Suppressed,Suicide,Urban Suburbs,2010-2014
,1-4 years,1-4,Suppressed,16879938,Suppressed,Suppressed,Suppressed,Suppressed,Suicide,Urban Suburbs,2010-2014
,5-9 years,5-9,Suppressed,21705749,Suppressed,Suppressed,Suppressed,Suppressed,Suicide,Urban Suburbs,2010-2014
,10-14 years,10-14,269,22282259,1.207,1.063,1.352,0.074,Suicide,Urban Suburbs,2010-2014
,15-19 years,15-19,1493,23181840,6.440,6.114,6.767,0.167,Suicide,Urban Suburbs,2010-2014
,20-24 years,20-24,2765,23267317,11.884,11.441,12.327,0.226,Suicide,Urban Suburbs,2010-2014
,25-29 years,25-29,2793,23069079,12.107,11.658,12.556,0.229,Suicide,Urban Suburbs,2010-2014
,30-34 years,30-34,2561,22393436,11.436,10.993,11.879,0.226,Suicide,Urban Suburbs,2010-2014
,35-39 years,35-39,2657,21597270,12.302,11.835,12.770,0.239,Suicide,Urban Suburbs,2010-2014
,40-44 years,40-44,3291,23478499,14.017,13.538,14.496,0.244,Suicide,Urban Suburbs,2010-2014
,45-49 years,45-49,3963,24702973,16.043,15.543,16.542,0.255,Suicide,Urban Suburbs,2010-2014
,50-54 years,50-54,4503,25202556,17.867,17.345,18.389,0.266,Suicide,Urban Suburbs,2010-2014
,55-59 years,55-59,3968,22636634,17.529,16.984,18.075,0.278,Suicide,Urban Suburbs,2010-2014
,60-64 years ,60-64,2808,19043991,14.745,14.199,15.290,0.278,Suicide,Urban Suburbs,2010-2014
,65-69 years,65-69,1791,14502937,12.349,11.777,12.921,0.292,Suicide,Urban Suburbs,2010-2014
,70-74 years,70-74,1314,10344935,12.702,12.015,13.389,0.350,Suicide,Urban Suburbs,2010-2014
,75-79 years,75-79,1056,7874109,13.411,12.602,14.220,0.413,Suicide,Urban Suburbs,2010-2014
,80-84 years,80-84,973,6360275,15.298,14.337,16.259,0.490,Suicide,Urban Suburbs,2010-2014
,85-89 years,85-89,677,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Urban Suburbs,2010-2014
,90-94 years,90-94,296,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Urban Suburbs,2010-2014
,95-99 years,95-99,59,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Urban Suburbs,2010-2014
,100+ years,100+,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Urban Suburbs,2010-2014
,Not Stated,NS,13,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Urban Suburbs,2010-2014
Total,,,37259,339549408,10.973,10.862,11.084,0.057,Suicide,Urban Suburbs,2010-2014
